Population,base_low_IFG,base_high_IFG,base_IGT,base_IFG_IGT,high_low_IFG,high_high_IFG,high_IGT,high_IFG_IGT,low_low_IFG,low_high_IFG,low_IGT,low_IFG_IGT
hispanic_M_20,0.308884,0.065358,0.054064,0.013168,0.392091,0.119526,0.100555,0.040653,0.225676,0.011191,0.007573,0
hispanic_M_40,0.30509,0.095266,0,0.085898,0.41782,0.157104,0,0.133706,0.192359,0.033429,0,0.03809
hispanic_M_60,0.105891,0.140268,0.073663,0.182523,0.18783,0.234168,0.148637,0.286706,0.023952,0.046369,0,0.07834
white_M_20,0.274626,0.057779,0.017491,0.041613,0.377868,0.102431,0.041993,0.079179,0.171383,0.013128,0,0.004047
white_M_40,0.217478,0.129108,0.036296,0.094951,0.301833,0.187654,0.077072,0.147041,0.133123,0.070561,0,0.04286
white_M_60,0.184219,0.114686,0.037447,0.213423,0.254508,0.201501,0.080611,0.32794,0.113931,0.027871,0,0.098905
black_M_20,0.239457,0.055395,0,0.059867,0.355239,0.129451,0,0.108437,0.123675,0,0,0.011297
black_M_40,0.04956,0.14493,0.076096,0.08928,0.098811,0.218091,0.140302,0.128506,0.000309,0.071769,0.01189,0.050054
black_M_60,0.259925,0.078467,0.039473,0.158053,0.362543,0.138127,0.101729,0.218351,0.157306,0.018807,0,0.097756
asian_M_20,0.248304,0.051703,0.012537,0.127966,0.385201,0.107842,0.039484,0.222431,0.111406,0,0,0.033501
asian_M_40,0.338705,0.078648,0.039409,0.033473,0.47778,0.16235,0.086745,0.082744,0.199631,0,0,0
asian_M_60,0.161087,0.158789,0,0.15284,0.281227,0.332626,0,0.226927,0.040947,0,0,0.078753
hispanic_F_20,0.125545,0,0.042212,0,0.201753,0,0.08324,0,0.049336,0,0.001184,0
hispanic_F_40,0.143061,0.081493,0.020448,0.051913,0.222868,0.154949,0.06251,0.081476,0.063253,0.008038,0,0.022351
hispanic_F_60,0.069957,0.094796,0.100512,0.163186,0.139953,0.158772,0.206274,0.268608,0,0.03082,0,0.057765
white_F_20,0.111992,0.026442,0.036382,0.04359,0.181076,0.056257,0.058242,0.082533,0.042908,0,0.014522,0.004648
white_F_40,0.286009,0.06116,0.043265,0.035446,0.359218,0.107526,0.080801,0.085879,0.212801,0.014794,0.005729,0
white_F_60,0.242999,0.068677,0.081125,0.131549,0.329308,0.127037,0.134617,0.20011,0.15669,0.010317,0.027632,0.062989
black_F_20,0.118402,0.035159,0,0.057786,0.181002,0.08833,0,0.126045,0.055801,0,0,0
black_F_40,0.172184,0.091586,0.066704,0.068421,0.237243,0.162591,0.10417,0.132651,0.107125,0.02058,0.029239,0.004192
black_F_60,0.12265,0.141787,0.043876,0.055302,0.228382,0.245319,0.096553,0.118477,0.028487,0.038254,0,0
asian_F_20,0.083121,0.026535,0.029657,0.028296,0.176962,0.065412,0.069499,0.073583,0,0,0,0
asian_F_40,0.076644,0.025657,0.120011,0.158864,0.146218,0.078278,0.211812,0.238851,0.007069,0,0.028209,0.078877
asian_F_60,0.224506,0.016604,0,0.027307,0.412086,0.050728,0,0.080899,0.036927,0,0,0
